,ID,Title,Year,Star1,Star2,Star3,Star4,Star5
198,2024544,12 Years a Slave,2013,Chiwetel Ejiofor,Dwight Henry,Dickie Gravois,Bryan Batt,Ashley Dyke
199,0074958,Network,1976,Faye Dunaway,William Holden,Peter Finch,Robert Duvall,Wesley Addy
200,1392214,Prisoners,2013,Hugh Jackman,Jake Gyllenhaal,Viola Davis,Maria Bello,Terrence Howard
201,0079470,Monty Python's Life of Brian,1979,Graham Chapman,John Cleese,Terry Gilliam,Eric Idle,Terry Jones
202,0019254,The Passion of Joan of Arc,1928,Aamir Khan,Siddharth,Sharman Joshi,Kunal Kapoor,Atul Kulkarni
203,0405508,Rang De Basanti,2006,Maria Falconetti,Eugene Silvain,André Berley,Maurice Schutz,Antonin Artaud
204,0092005,Stand by Me,1986,Wil Wheaton,River Phoenix,Corey Feldman,Jerry O'Connell,Kiefer Sutherland
205,0060107,Andrei Rublev,1966,Tom Hardy,Charlize Theron,Nicholas Hoult,Hugh Keays-Byrne,Josh Helman
206,1392190,Mad Max: Fury Road,2015,Anatoliy Solonitsyn,Ivan Lapikov,Nikolay Grinko,Nikolay Sergeev,Irina Tarkovskaya
207,0091763,Platoon,1986,Tom Berenger,Keith David,Willem Dafoe,Forest Whitaker,Francesco Quinn
208,1979320,Rush,2013,Chris Hemsworth,Daniel Brühl,Olivia Wilde,Alexandra Maria Lara,Pierfrancesco Favino
209,0405159,Million Dollar Baby,2004,Clint Eastwood,Hilary Swank,Morgan Freeman,Jay Baruchel,Mike Colter
210,1028532,Hachi: A Dog's Tale,2009,Richard Gere,Joan Allen,Cary-Hiroyuki Tagawa,Sarah Roemer,Jason Alexander
211,3315342,Logan,2017,Hugh Jackman,Patrick Stewart,Dafne Keen,Boyd Holbrook,Stephen Merchant
212,0052618,Ben-Hur,1959,Charlton Heston,Jack Hawkins,Haya Harareet,Stephen Boyd,Hugh Griffith
213,0072684,Barry Lyndon,1975,Ryan O'Neal,Marisa Berenson,Patrick Magee,Hardy Krüger,Steven Berkoff
214,0395169,Hotel Rwanda,2004,Xolani Mali,Don Cheadle,Desmond Dube,Hakeem Kae-Kazim,Tony Kgoroge
215,0245712,Amores Perros,2000,Emilio Echevarría,Gael García Bernal,Goya Toledo,Álvaro Guerrero,Vanessa Bauche
216,0087544,Nausicaä of the Valley of the Wind,1984,Sumi Shimamoto,Mahito Tsujimura,Hisako Kyôda,Gorô Naya,Ichirô Nagai
217,1895587,Spotlight,2015,Mark Ruffalo,Michael Keaton,Rachel McAdams,Liev Schreiber,John Slattery
218,1201607,Harry Potter and the Deathly Hallows: Part 2,2011,Ralph Fiennes,Michael Gambon,Alan Rickman,Daniel Radcliffe,Rupert Grint
219,0053198,The 400 Blows,1959,Jean-Pierre Léaud,Claire Maurier,Albert Rémy,Guy Decomble,Georges Flamant
220,0097165,Dead Poets Society,1989,Robin Williams,Robert Sean Leonard,Ethan Hawke,Josh Charles,Gale Hansen
221,0032976,Rebecca,1940,Laurence Olivier,Joan Fontaine,George Sanders,Judith Anderson,Nigel Bruce
222,0075148,Rocky,1976,Sylvester Stallone,Talia Shire,Burt Young,Carl Weathers,Burgess Meredith
